process,model,case,score,rate,rate_sd
AR1,MLPQR_CAL,A3,S_gls_pert,0.21444444444444444,0.025018511664883787
AR1,MLPQR_CAL,A3,S_gls_pool,0.043333333333333335,0.017320508075688777
AR1,MLPQR_CAL,A3,S_mean,0.47444444444444445,0.038490017945975036
AR1,MLPQR_CAL,A4,S_gls_emp,0.12444444444444445,0.01895413567692443
AR1,MLPQR_CAL,A4,S_gls_pert,0.28,0.023333333333333317
AR1,MLPQR_CAL,A4,S_gls_pool,0.12444444444444445,0.008388704928078609
AR1,MLPQR_CAL,A4,S_mean,0.5411111111111111,0.027954990278686993
AR1,MLPQR_CAL,N0,S_gls_emp,0.045555555555555564,0.015752718754175367
AR1,MLPQR_CAL,N0,S_gls_pert,0.2111111111111111,0.028349668493717943
AR1,MLPQR_CAL,N0,S_gls_pool,0.04555555555555555,0.012619796324000607
AR1,MLPQR_CAL,N0,S_mean,0.4855555555555555,0.02873892701417237
AR1,ORACLE,A0,S_gls_emp,0.0,0.0
AR1,ORACLE,A0,S_gls_pert,0.0,0.0
AR1,ORACLE,A0,S_gls_pool,0.0,0.0
AR1,ORACLE,A0,S_mean,0.0,0.0
AR1,ORACLE,A1,S_gls_emp,0.0,0.0
AR1,ORACLE,A1,S_gls_pert,0.0,0.0
AR1,ORACLE,A1,S_gls_pool,0.0,0.0
AR1,ORACLE,A1,S_mean,1.0,0.0
AR1,ORACLE,A2,S_gls_emp,0.29111111111111115,0.019245008972987525
AR1,ORACLE,A2,S_gls_pert,0.27555555555555555,0.034694433324435545
AR1,ORACLE,A2,S_gls_pool,0.27555555555555555,0.034694433324435545
AR1,ORACLE,A2,S_mean,0.6711111111111111,0.005091750772173152
AR1,ORACLE,A3,S_gls_emp,0.056666666666666664,0.01732050807568877
AR1,ORACLE,A3,S_gls_pert,0.04222222222222222,0.01539600717839002
AR1,ORACLE,A3,S_gls_pool,0.04222222222222222,0.01539600717839002
AR1,ORACLE,A3,S_mean,0.38000000000000006,0.017320508075688787
AR1,ORACLE,A4,S_gls_emp,0.21555555555555558,0.024113927126900775
AR1,ORACLE,A4,S_gls_pert,0.17888888888888888,0.01575271875417535
AR1,ORACLE,A4,S_gls_pool,0.17888888888888888,0.01575271875417535
AR1,ORACLE,A4,S_mean,0.5522222222222223,0.03671713698190729
AR1,ORACLE,N0,S_gls_emp,0.052222222222222225,0.024113927126900782
AR1,ORACLE,N0,S_gls_pert,0.04222222222222222,0.013471506281091266
AR1,ORACLE,N0,S_gls_pool,0.04222222222222222,0.013471506281091266
AR1,ORACLE,N0,S_mean,0.3811111111111111,0.013877773329774249
RW,MLPQR,A0,S_gls_emp,0.011111111111111112,0.0019245008972987529
RW,MLPQR,A0,S_gls_pert,0.02888888888888889,0.008388704928078609
RW,MLPQR,A0,S_gls_pool,0.021111111111111112,0.005091750772173157
RW,MLPQR,A0,S_mean,0.5455555555555556,0.030245905752924917
RW,MLPQR,A1,S_gls_emp,0.11666666666666665,0.02185812841434001
RW,MLPQR,A1,S_gls_pert,0.15,0.020275875100994073
RW,MLPQR,A1,S_gls_pool,0.15,0.02333333333333334
RW,MLPQR,A1,S_mean,0.8300000000000001,0.008819171036881937
RW,MLPQR,A2,S_gls_emp,0.12222222222222223,0.022689530951846823
RW,MLPQR,A2,S_gls_pert,0.1411111111111111,0.021688023662159044
RW,MLPQR,A2,S_gls_pool,0.14222222222222222,0.023412563895228305
RW,MLPQR,A2,S_mean,0.7766666666666667,0.02081665999466135
RW,MLPQR,A3,S_gls_emp,0.09777777777777778,0.008388704928078623
RW,MLPQR,A3,S_gls_pert,0.12111111111111111,0.01677740985615721
RW,MLPQR,A3,S_gls_pool,0.11555555555555556,0.011706281947614158
RW,MLPQR,A3,S_mean,0.7755555555555556,0.025458753860865796
RW,MLPQR,A4,S_gls_emp,0.15888888888888889,0.005091750772173162
RW,MLPQR,A4,S_gls_pert,0.19666666666666666,0.011547005383792528
