process,model,case,seed,score,auroc,auprc,tpr_at_fpr5,n0_mean,case_mean
AR1,MLPQR,A2,1,S_gls_emp,0.6419555555555556,0.6654864570606442,0.21,1.113405282955438,1.653737795771583
AR1,MLPQR,A2,1,S_chi2,0.5940444444444444,0.619052231183526,0.15666666666666668,3.223998893018345,4.483297765047882
AR1,MLPQR,A2,1,S_maha,0.5279222222222222,0.541333720130448,0.06666666666666667,61.79112415064142,73.12124941332586
AR1,MLPQR,A3,1,S_max,0.5554222222222222,0.5302387144056298,0.0,2.433140464380568,2.5523707878336945
AR1,MLPQR,A3,1,S_band,0.5339333333333333,0.5206939299475779,0.05,0.38427083333333334,0.4010416666666667
AR1,MLPQR,A3,1,S_mean,0.4928944444444444,0.5004561870888835,0.05333333333333334,2.991153698453427,2.944895741787794
AR1,MLPQR,A3,1,S_gls_pert,0.49553888888888886,0.5015703487972514,0.04,2.1598763696362737,2.122492845193432
AR1,MLPQR,A3,1,S_gls_pool,0.4927055555555556,0.5007999082140187,0.05333333333333334,1.1405567757305686,1.1266343324988872
AR1,MLPQR,A3,1,S_gls_emp,0.4961166666666667,0.5007884082863328,0.05,1.113405282955438,1.1058022120612103
AR1,MLPQR,A3,1,S_chi2,0.5497388888888889,0.5345999465930052,0.056666666666666664,3.223998893018345,3.605225550406805
AR1,MLPQR,A3,1,S_maha,0.6410277777777778,0.6079403927370354,0.08333333333333333,61.79112415064142,76.02633314783837
AR1,MLPQR,A4,1,S_max,0.72805,0.6518036955689964,0.0,2.433140464380568,2.573355765979511
AR1,MLPQR,A4,1,S_band,0.8029277777777778,0.7626737065924294,0.19333333333333333,0.38427083333333334,0.5585416666666667
AR1,MLPQR,A4,1,S_mean,0.5278666666666667,0.5350929974168355,0.06666666666666667,2.991153698453427,3.2469789781251746
AR1,MLPQR,A4,1,S_gls_pert,0.5326444444444445,0.5266885098265635,0.05333333333333334,2.1598763696362737,2.349909088228167
AR1,MLPQR,A4,1,S_gls_pool,0.5287333333333333,0.5468424901619564,0.08333333333333333,1.1405567757305686,1.265609004804847
AR1,MLPQR,A4,1,S_gls_emp,0.5329666666666667,0.550878587627015,0.08333333333333333,1.113405282955438,1.248885206877132
AR1,MLPQR,A4,1,S_chi2,0.8471666666666666,0.822984707915011,0.35,3.223998893018345,7.425467421095751
AR1,MLPQR,A4,1,S_maha,0.832411111111111,0.7861978609777638,0.24,61.79112415064142,106.81658548266864
AR1,MLPQR,A0,2,S_max,0.008933333333333342,0.3080478708436002,0.0,2.4467668010245247,1.1175671161525436
AR1,MLPQR,A0,2,S_band,0.054838888888888895,0.38861079945658333,0.0033333333333333335,0.38208333333333333,0.06239583333333333
AR1,MLPQR,A0,2,S_mean,0.3902000000000001,0.4149981348467502,0.01,2.877418359337966,2.0763833442743453
AR1,MLPQR,A0,2,S_gls_pert,0.38951111111111114,0.4239978317933897,0.023333333333333334,1.7859582798082514,1.1827515046717403
AR1,MLPQR,A0,2,S_gls_pool,0.38608888888888887,0.41293354207679966,0.0033333333333333335,1.0097999047327473,0.717068305678451
AR1,MLPQR,A0,2,S_gls_emp,0.3701888888888889,0.4063021151107719,0.006666666666666667,1.0292714981477722,0.7140548004728741
AR1,MLPQR,A0,2,S_chi2,0.48168888888888894,0.4466939946261194,0.0033333333333333335,3.1028478110526043,2.4458589117218605
AR1,MLPQR,A0,2,S_maha,0.015111111111111108,0.30860917653715547,0.0033333333333333335,62.20811471447169,7.777601790006774
AR1,MLPQR,A1,2,S_max,0.08833333333333333,0.3265411714009954,0.0,2.4467668010245247,1.6839231224597757
AR1,MLPQR,A1,2,S_band,0.40470555555555554,0.5520657080965828,0.16,0.38208333333333333,0.32125
AR1,MLPQR,A1,2,S_mean,0.7727777777777778,0.7803816932242525,0.3433333333333333,2.877418359337966,5.376933407950491
AR1,MLPQR,A1,2,S_gls_pert,0.7116555555555556,0.6898815919899086,0.17333333333333334,1.7859582798082514,3.4359052163142647
AR1,MLPQR,A1,2,S_gls_pool,0.8013000000000001,0.8032917662334939,0.35,1.0097999047327473,2.0149273793556244
AR1,MLPQR,A1,2,S_gls_emp,0.7946555555555557,0.8048851057837325,0.3433333333333333,1.0292714981477722,1.9935305104898207
AR1,MLPQR,A1,2,S_chi2,0.4860555555555555,0.5015663629614773,0.056666666666666664,3.1028478110526043,3.0206325488044645
AR1,MLPQR,A1,2,S_maha,0.11512222222222221,0.35126520487927826,0.043333333333333335,62.20811471447169,27.926009960070328
AR1,MLPQR,A2,2,S_max,0.42093333333333327,0.47798678035432446,0.0,2.4467668010245247,2.48743993823292
