process,model,seed,horizon,z_mean,z_var,psi,psi_theory,n_eff_pert,n_eff_pert_med,n_eff_pool,n_eff_ema,n_eff_hybrid,n_eff_b,n_eff_emp,R_frobenius
RW,ORACLE,0,4,-0.04965383051967498,0.9594299518467904,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,5,-0.04635819046579974,0.9797268100175253,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,6,-0.04719509587107788,1.0193621049628099,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,7,-0.05444631497291643,1.0103742720533009,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,8,-0.057891716716827364,1.0081091145027785,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,9,-0.046905275691749224,0.9767349352744431,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,10,-0.063678244085075,0.9724288399299206,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,11,-0.04967993707665372,0.9353559771962872,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,12,-0.030747314570632036,0.9719412743903221,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,13,-0.04546304996233631,0.9859805084192904,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,14,-0.02316132870358747,0.994569249491424,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,15,-0.015131615168633239,1.0295769674668873,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,16,-0.014256753984777222,0.9767838742865039,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,17,0.029965746289561227,0.9402137644779949,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,18,0.04135166175317553,0.9489214718346791,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,19,0.0559683060508029,0.9399235964181848,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,20,0.062179420639491854,0.9559218289919846,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,21,0.06668553845825911,0.9468451162069825,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,22,0.07106045696923809,0.9767569860010564,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,23,0.06872873484359533,0.9316250873529629,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,24,0.07717117946268086,0.9498300758013922,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,25,0.05981035605134621,0.9329620270166322,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,26,0.08582332967062092,0.9039760982198963,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,27,0.11127657675183059,0.9629319951483832,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,28,0.12451530564491435,0.9263634910969771,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,29,0.12859825842501962,0.9324450938318425,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,30,0.14695257134508585,0.9144164877116601,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,31,0.15241631909237363,0.9245407154545849,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
RW,ORACLE,0,32,0.13488211027933897,0.9316527107974202,1.0000000000000075,1.0,1.934552334479488,1.9345523344794924,1.934552334479488,1.9345523344794886,1.9763088695430064,1.002295595909598,2.0339789779209165,0.6492013204130865
