process,model,case,score,auroc,auroc_sd,auprc,auprc_sd,tpr5,tpr5_sd,n0_mean,case_mean
AR1,MLPQR,A0,S_band,0.06323148148148149,0.007693394098653827,0.39127975618952665,0.004301389817571689,0.006666666666666667,0.003333333333333333,0.37833333333333335,0.06760416666666667
AR1,MLPQR,A0,S_chi2,0.4838407407407408,0.0234685508853537,0.4488024978733727,0.01031641059982147,0.0033333333333333335,0.0,3.0726980178965704,2.4567687724242426
AR1,MLPQR,A0,S_gls_emp,0.3858851851851852,0.014343512033269962,0.4152215535237886,0.0078196415654096,0.013333333333333334,0.006666666666666666,1.061167210569166,0.7575504351360611
AR1,MLPQR,A0,S_gls_pert,0.3970185185185185,0.01047780919833469,0.42932331179638417,0.008683321887253256,0.023333333333333334,0.006666666666666665,1.8877130092641325,1.2748549473207336
AR1,MLPQR,A0,S_gls_pool,0.39091111111111115,0.0063122749318145766,0.41957835050464176,0.006630710151922156,0.015555555555555557,0.013471506281091268,1.0554139898506152,0.7683401651111382
AR1,MLPQR,A0,S_maha,0.019585185185185185,0.004066216328029961,0.309210604691538,0.0006956143446065253,0.0033333333333333335,0.0033333333333333335,60.94895348888672,8.403888974206732
AR1,MLPQR,A0,S_max,0.010333333333333335,0.002555875583826406,0.30810937687066425,0.00023316971646174153,0.0,0.0,2.442335483880177,1.1312941655679396
AR1,MLPQR,A0,S_mean,0.39639259259259263,0.006663900660758723,0.4233413199408578,0.007693814274109163,0.017777777777777778,0.00693888666488711,2.850145438067225,2.1106837528703934
AR1,MLPQR,A1,S_band,0.39745370370370364,0.007570741139358605,0.547817515068601,0.005704386393409593,0.1511111111111111,0.015396007178390023,0.37833333333333335,0.3164236111111111
AR1,MLPQR,A1,S_chi2,0.48451111111111106,0.0070120795245960914,0.5043639457696839,0.004912053471443787,0.06444444444444444,0.00838870492807861,3.0726980178965704,3.0269094446023685
AR1,MLPQR,A1,S_gls_emp,0.7898555555555555,0.016230256762229636,0.790314797875376,0.020565938502435155,0.31777777777777777,0.022194427061597976,1.061167210569166,2.0555312089638904
AR1,MLPQR,A1,S_gls_pert,0.7104333333333335,0.019628560068695095,0.6857614353518976,0.022205214233711607,0.15777777777777777,0.03595264374969652,1.8877130092641325,3.635938614116686
AR1,MLPQR,A1,S_gls_pool,0.7968962962962963,0.021294293947734324,0.7964249609083559,0.023063466848236125,0.3311111111111111,0.020092379244472356,1.0554139898506152,2.0848963156026428
AR1,MLPQR,A1,S_maha,0.12789629629629629,0.01378691602563613,0.3670119218900805,0.016278662105571533,0.05777777777777778,0.01710533813148961,60.94895348888672,31.922827838204597
AR1,MLPQR,A1,S_max,0.09107407407407409,0.007644487510645264,0.3277234353011144,0.0020408471256374724,0.0,0.0,2.442335483880177,1.6764872983064834
AR1,MLPQR,A1,S_mean,0.7733444444444445,0.01789006552376065,0.7771369539777305,0.0192429732504046,0.31,0.029627314724385286,2.850145438067225,5.347954895693399
AR1,MLPQR,A2,S_band,0.5782018518518518,0.004379209908632788,0.5946676210513507,0.010064239940356469,0.11,0.021858128414340004,0.37833333333333335,0.4261458333333333
AR1,MLPQR,A2,S_chi2,0.6036666666666667,0.008420638959949982,0.6231513164284618,0.004369526033797702,0.14555555555555555,0.011706281947614156,3.0726980178965704,4.315566775363307
AR1,MLPQR,A2,S_gls_emp,0.6448592592592592,0.0027403102765056328,0.6766849404127635,0.010678657117971462,0.21555555555555558,0.01261979632400062,1.061167210569166,1.5974977257166045
AR1,MLPQR,A2,S_gls_pert,0.6033592592592593,0.015429290460524287,0.6061728648353224,0.015018201797111322,0.10888888888888888,0.03150543750835073,1.8877130092641325,2.8565283596146536
AR1,MLPQR,A2,S_gls_pool,0.6488555555555555,0.010672608298875874,0.6777616829646972,0.008388821638913717,0.2111111111111111,0.008388704928078609,1.0554139898506152,1.6014779126267886
AR1,MLPQR,A2,S_maha,0.5418814814814815,0.013563487357623489,0.5464109041135892,0.014259451616859683,0.07333333333333333,0.006666666666666668,60.94895348888672,70.28902608704806
AR1,MLPQR,A2,S_max,0.42085555555555554,0.002028896190810707,0.4788654962816649,0.0021884397969891556,0.0,0.0,2.442335483880177,2.4763662790007235
AR1,MLPQR,A2,S_mean,0.6325666666666666,0.007990094175807405,0.66160270706775,0.005989377455398323,0.19777777777777775,0.027755546659548443,2.850145438067225,4.1272175387844925
AR1,MLPQR,A3,S_band,0.5367351851851851,0.0024693824722466593,0.5243737680843018,0.00320394691809119,0.052222222222222225,0.001924500897298752,0.37833333333333335,0.3967013888888889
AR1,MLPQR,A3,S_chi2,0.5554481481481481,0.004980301732806367,0.5407780582943165,0.005840825866545399,0.06333333333333334,0.005773502691896259,3.0726980178965704,3.488738203598967
AR1,MLPQR,A3,S_gls_emp,0.4992666666666667,0.004621571134699346,0.5028598154468094,0.0021074875915109317,0.04888888888888889,0.001924500897298751,1.061167210569166,1.0593157969745641
AR1,MLPQR,A3,S_gls_pert,0.49527407407407403,0.002695883540853327,0.5041126197993314,0.0030242875964591864,0.052222222222222225,0.010715167512214394,1.8877130092641325,1.8893264408165784
AR1,MLPQR,A3,S_gls_pool,0.49566296296296297,0.003739695031689227,0.5008376247647794,4.410555660897534e-05,0.04888888888888889,0.0038490017945975057,1.0554139898506152,1.0464696162672849
AR1,MLPQR,A3,S_maha,0.6463037037037037,0.005357331233215524,0.6107724574605703,0.00924427706781215,0.09222222222222222,0.015396007178390023,60.94895348888672,75.25009793136742
